"","state","year","abortionrate2024","abortionrate2529","abortionrate3034","abortionrate3539","abortionrate40plus","rank","region"
"1","AK",2014,20.5,15.5,9.9,5.6,2.8,1,"West"
"2","AL",2014,16.4,13.7,8.5,4.4,1.3,3,"Southeast"
"3","AR",2014,13.3,12.2,7.7,4.2,1.7,3,"Southeast"
"4","AZ",2014,18.2,15.9,10.1,6.5,2.7,3,"Southwest"
"5","CA",2014,35.7,29.8,19.6,12,4.3,1,"West"
"6","CO",2014,21.5,16.4,10.2,5.9,2.7,1,"West"
"7","CT",2014,36.6,33,20.8,11.7,3.9,1,"Northeast"
"8","DE",2014,34,24.7,17.9,10.3,3.7,1,"Northeast"
"9","FL",2014,36.2,30.7,20.2,12.1,4.1,3,"Southeast"
"10","GA",2014,27.3,23.9,16,9.1,3.1,2,"Southeast"
"11","HI",2014,27.1,19.4,12.7,8.9,3.3,1,"West"
"12","IA",2014,11.6,10.4,6.8,4.1,1.6,1,"Midwest"
"13","ID",2014,11.3,8.6,5,3.3,1.2,2,"West"
"14","IL",2014,29,23.6,15.2,9.4,3.5,1,"Midwest"
"15","IN",2014,14,12.9,7.7,4.7,1.5,3,"Midwest"
"16","KS",2014,11.8,10.8,6.8,4.4,1.6,3,"Midwest"
"17","KY",2014,10.7,9.5,6.1,3.8,1.3,2,"Southeast"
"18","LA",2014,17.8,16.5,10.4,5.8,1.9,3,"Southeast"
"19","MA",2014,27.5,23.5,16.5,10.6,4,1,"Northeast"
"20","MD",2014,44.8,33.4,20.9,13.1,4.2,1,"Northeast"
"21","ME",2014,20,16.8,10.2,5.5,2.4,1,"Northeast"
"22","MI",2014,27.4,24.1,15,8.8,2.8,2,"Midwest"
"23","MN",2014,16,14,8.8,5.7,2.2,1,"Midwest"
"24","MO",2014,15.2,11.6,7.1,4.7,1.6,3,"Midwest"
"25","MS",2014,17.6,15.2,9.1,4.3,1.2,3,"Southeast"
"26","MT",2014,14.6,12.6,7.3,4.3,1.6,1,"West"
"27","NC",2014,25.9,21.4,13.7,7.6,2.6,2,"Southeast"
"28","ND",2014,11.3,10.8,6.3,4.5,1.7,3,"Midwest"
"29","NE",2014,11.6,10.2,6.3,4.1,1.7,3,"Midwest"
"30","NH",2014,18.3,17.6,10.9,6.5,2.5,1,"Northeast"
"31","NJ",2014,46.9,45.8,27.1,16.7,6.6,1,"Northeast"
"32","NM",2014,17.5,15.3,9.6,5.5,2,1,"Southwest"
"33","NV",2014,35.1,31.2,21.6,10.8,4.2,1,"West"
"34","NY",2014,50.9,42.7,30.3,19.2,7,1,"Northeast"
"35","OH",2014,19.9,16.6,10.5,6.3,2,3,"Midwest"
"36","OK",2014,11.9,10.3,6.8,3.6,1.6,3,"Southwest"
"37","OR",2014,20.3,17.7,11.1,7,2.9,1,"West"
"38","PA",2014,26.7,22.5,14,8.5,2.7,2,"Northeast"
"39","RI",2014,27.2,23.5,16.8,10.5,3.8,2,"Northeast"
"40","SC",2014,20.2,18,12.4,7.1,2.2,2,"Southeast"
"41","SD",2014,8.4,8.2,4.7,4.1,1,3,"Midwest"
"42","TN",2014,17.7,15.5,9.4,5.6,1.5,2,"Southeast"
"43","TX",2014,18.6,15.9,10.1,5.9,2.1,3,"Southwest"
"44","UT",2014,7.6,6.6,4.6,3.3,1.3,3,"West"
"45","VA",2014,27,23.3,15.5,9.7,3.5,3,"Southeast"
"46","VT",2014,20.5,20.1,11.7,7.6,3.2,1,"Northeast"
"47","WA",2014,25.5,20.1,13.3,8.5,3.2,1,"West"
"48","WI",2014,12.4,11.2,6.5,4,1.5,3,"Midwest"
"49","WV",2014,12,11.4,6.6,4.5,0.8,1,"Southeast"
"50","WY",2014,13.8,11.3,7,4.9,1.8,1,"West"
